농장,화방번호,날짜,개화수,착과수,수확수,개당무게,총무게,초장,잎길이,잎폭,잎수
정택준,5,17,0.00 ,9.90 ,3.10 ,4.17 ,23.33 ,195.73 ,29.81 ,28.06 ,8.42 
정택준,5,18,0.00 ,6.00 ,1.20 ,2.66 ,10.43 ,193.40 ,29.79 ,28.05 ,8.26 
정택준,6,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,90.10 ,30.68 ,31.21 ,8.10 
정택준,6,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,99.73 ,34.54 ,35.41 ,9.64 
정택준,6,3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,109.18 ,33.26 ,35.65 ,9.48 
정택준,6,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,126.10 ,30.46 ,29.12 ,11.62 
정택준,6,5,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,138.25 ,28.22 ,28.20 ,9.51 
정택준,6,6,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,154.63 ,26.14 ,24.75 ,12.79 
정택준,6,7,0.20 ,0.00 ,0.00 ,0.00 ,0.00 ,169.57 ,25.80 ,22.79 ,13.40 
정택준,6,8,1.70 ,0.00 ,0.00 ,0.00 ,0.00 ,184.60 ,27.12 ,25.25 ,13.56 
정택준,6,9,3.80 ,0.90 ,0.00 ,0.00 ,0.00 ,194.95 ,25.62 ,20.51 ,16.98 
정택준,6,10,4.10 ,5.60 ,0.00 ,0.00 ,0.00 ,194.50 ,27.94 ,25.07 ,8.14 
정택준,6,11,4.00 ,10.40 ,0.00 ,0.00 ,0.00 ,186.95 ,30.31 ,28.45 ,9.07 
정택준,6,12,0.40 ,13.40 ,0.00 ,0.00 ,0.00 ,183.97 ,29.81 ,28.41 ,8.36 
정택준,6,13,0.00 ,13.30 ,0.00 ,0.00 ,0.00 ,189.02 ,28.92 ,27.41 ,7.97 
정택준,6,14,0.00 ,11.90 ,0.00 ,0.00 ,0.00 ,186.90 ,29.34 ,27.23 ,8.58 
정택준,6,15,0.00 ,14.60 ,0.70 ,2.19 ,7.78 ,192.25 ,29.28 ,27.32 ,8.17 
정택준,6,16,0.00 ,14.40 ,1.50 ,2.71 ,13.31 ,190.07 ,27.96 ,28.01 ,8.35 
정택준,6,17,0.00 ,10.80 ,2.30 ,3.77 ,20.44 ,195.73 ,29.81 ,28.06 ,8.42 
